,steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,sdk
60,951440,Volcanoids,volcanoids,https://cdn.cloudflare.steamstatic.com/steam/apps/951440/header.jpg?t=1645091775,3702,83.1366,4223,3702,-1,0.871454,2019-01-29,1999,1999,0,0,0,1673,72992,1,255,,8812.0,119,174,201,1999.0,56866,28384,Volcanoid,Volcanoid,Discord
61,307110,We Need To Go Deeper,we_need_to_go_deeper,https://cdn.cloudflare.steamstatic.com/steam/apps/307110/header.jpg?t=1638405382,3611,81.4808,4549,3611,-1,0.849402,2019-08-01,1599,1599,0,0,0,825,25941,-1,1756,,3646.0,33,57,82,999.0,21117,21117,Deli Interactive LLC,Deli Interactive LLC,Discord
62,1618540,Ghost Exorcism INC.,ghost_exorcism_inc,https://cdn.cloudflare.steamstatic.com/steam/apps/1618540/header.jpg?t=1644580529,3431,67.1786,4322,3431,-1,0.627457,2021-07-15,1799,1799,0,0,0,3765,23060,1,640,,15980.0,970,1582,1938,1799.0,46501,46501,StudioGoupil,StudioGoupil,Discord
63,1477590,EZ2ON REBOOT : R,ez2on_reboot_r,https://cdn.cloudflare.steamstatic.com/steam/apps/1477590/header.jpg?t=1640364506,3379,86.4235,3553,3379,-1,0.913652,2021-03-17,4499,4499,0,0,0,1429,4340,1,1499,,27719.0,72,94,111,4499.0,"41847,43044",41847,"Neonovice Co., Ltd., SQUARE PIXELS","Neonovice Co., Ltd.",Discord
64,257730,Infinity Wars: Animated Trading Card Game,infinity_wars_animated_trading_card_game,https://cdn.cloudflare.steamstatic.com/steam/apps/257730/header.jpg?t=1637714682,3376,74.6462,3376,69,-1,0.429879,2014-09-05,0,0,1,1,0,1604,19438,-1,-1,,2755.0,-1,-1,-1,0.0,23430,"23430,23431",Lightmare Studios,"Lightmare Studios, Yodo1 Games",Discord
65,550320,art of rally,art_of_rally,https://cdn.cloudflare.steamstatic.com/steam/apps/550320/header.jpg?t=1628726176,2942,77.4028,3290,2942,-1,0.792479,2020-09-23,2499,2499,0,0,0,421,14180,0,2130,,16001.0,249,502,1115,2499.0,21138,21138,Funselektor Labs Inc.,Funselektor Labs Inc.,Discord
66,667870,MINDNIGHT,mindnight,https://cdn.cloudflare.steamstatic.com/steam/apps/667870/header.jpg?t=1606080944,2916,55.6597,2916,13,-1,0.360151,2017-08-04,0,0,1,1,0,415,3485,0,16486,,4319.0,-1,-1,-1,599.0,23276,23276,No Moon,No Moon,Discord
67,433530,Heliborne Collection,heliborne_collection,https://cdn.cloudflare.steamstatic.com/steam/apps/433530/header.jpg?t=1640264601,2830,65.3817,3529,2830,71,0.593734,2017-10-12,2999,2999,0,0,0,1349,30985,-1,4316,75.0,6392.0,84,214,337,2999.0,1964,1964,Klabater,Klabater,Discord
68,1394270,SCP: Escape Together,scp_escape_together,https://cdn.cloudflare.steamstatic.com/steam/apps/1394270/header.jpg?t=1638071021,2722,56.737,2722,-1,-1,0.392938,2021-01-06,0,0,1,0,0,348,5785,1,-1,,,-1,-1,-1,0.0,35442,35442,SCP: Escape Together development team,SCP: Escape Together development team,Discord
69,1175140,Vecter,vecter,https://cdn.cloudflare.steamstatic.com/steam/apps/1175140/header.jpg?t=1606880540,2701,74.5141,2701,2,-1,0.749545,2020-10-14,0,0,1,0,0,235,3019,-1,16140,,,-1,-1,-1,0.0,26015,26015,Taranasus,Taranasus,Discord
