,steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,sdk
18,1533390,Gorilla Tag,gorilla_tag,https://cdn.cloudflare.steamstatic.com/steam/apps/1533390/header.jpg?t=1632461123,12816,88.903,12816,46,-1,0.706927,2021-02-12,0,0,1,0,0,1261,8889,1,493,,6122.0,-1,-1,-1,0,41840,41840,Another Axiom,Another Axiom,Photon
19,402710,Osiris: New Dawn,osiris_new_dawn,https://cdn.cloudflare.steamstatic.com/steam/apps/402710/header.jpg?t=1642130681,11228,55.5889,12965,11228,-1,0.357894,2016-09-28,2499,2499,0,0,0,4739,216745,1,1103,,4530.0,749,1272,1778,2499,15967,15967,Fenix Fire Entertainment,Fenix Fire Entertainment,Photon
20,493900,Dungeons 3,dungeons_3,https://cdn.cloudflare.steamstatic.com/steam/apps/493900/header.jpg?t=1645120554,11170,77.2497,16432,11170,75,0.790261,2017-10-13,2999,2999,0,0,0,3258,53116,0,1858,75.3077,1167.0,207,385,747,3999,9003,2777,Realmforge Studios,Kalypso Media,Photon
21,391720,Layers of Fear,layers_of_fear,https://cdn.cloudflare.steamstatic.com/steam/apps/391720/header.jpg?t=1609843825,10788,79.187,24034,10788,72,0.81787,2016-02-15,1999,1999,0,0,0,143872,68470,-1,2089,74.4915,115.0,181,329,426,999,2582,11071,Bloober Team SA,Aspyr,Photon
22,290340,Armello,armello,https://cdn.cloudflare.steamstatic.com/steam/apps/290340/header.jpg?t=1633308761,9796,75.0707,14111,9796,75,0.758006,2015-09-01,1999,1999,0,0,0,3615,90730,-1,984,78.6667,1202.0,109,218,306,2499,24724,24724,League of Geeks,League of Geeks,Photon
23,418340,RWBY: Grimm Eclipse,rwby_grimm_eclipse,https://cdn.cloudflare.steamstatic.com/steam/apps/418340/header.jpg?t=1539886295,9703,50.0,11445,9703,-1,-1.0,2016-07-05,1999,1999,0,0,0,3224,135617,-1,3636,56.8,3796.0,347,488,649,1499,4253,4253,Rooster Teeth Games,Rooster Teeth Games,Photon
24,605740,"Flashing Lights - Police, Firefighting, Emergency Services Simulator",flashing_lights_police_firefighting_emergency_services_simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/605740/header.jpg?t=1642692923,9447,75.7519,10841,9447,-1,0.768236,2018-06-07,2499,2499,0,0,0,706,33944,1,1192,,6884.0,240,314,407,1499,22774,3225,Nils Jakrins,Excalibur Games,Photon
25,1096530,Solasta: Crown of the Magister,solasta_crown_of_the_magister,https://cdn.cloudflare.steamstatic.com/steam/apps/1096530/header.jpg?t=1639753776,9118,76.9647,9938,9118,-1,0.786119,2021-05-27,3999,3999,0,0,0,8291,68535,-1,284,,16226.0,590,1169,1644,3499,57386,2657,Tactical Adventures,Tactical Adventures,Photon
26,519190,Next Day: Survival,next_day_survival,https://cdn.cloudflare.steamstatic.com/steam/apps/519190/header.jpg?t=1527259457,8452,59.3009,10032,8452,-1,0.461693,2018-05-21,999,999,0,0,0,4486,-1,-1,6780,,4795.0,17,60,122,999,19174,12627,SOFF Games,Last Level,Photon
27,209080,Guns of Icarus Online,guns_of_icarus_online,https://cdn.cloudflare.steamstatic.com/steam/apps/209080/header.jpg?t=1536787177,8285,57.1823,14648,8285,64,0.405716,2012-10-29,499,499,0,0,0,102258,-1,0,8010,,63.0,18,38,83,499,39004,1839,Muse Games,Muse Games,Photon
