steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher
205710,EverQuest,everquest,https://cdn.cloudflare.steamstatic.com/steam/apps/205710/header.jpg?t=1623777647,1598,75.7729,1598,12,-1,0.76855,2012-12-13,0.0,0.0,1,1,0,973,5571,0,1692,,3311.0,-1,-1,-1,0.0,16589,6059,Darkpaw Games,Daybreak Game Company
243950,Divinity: Dragon Commander,divinity_dragon_commander,https://cdn.cloudflare.steamstatic.com/steam/apps/243950/header.jpg?t=1568735710,1575,69.6019,2098,1575,-1,0.36277,2013-08-06,3999.0,3999.0,0,0,0,2311,11850,0,11446,,2873.0,24,48,69,3999.0,7232,7232,Larian Studios,Larian Studios
38700,Toki Tori,toki_tori,https://cdn.cloudflare.steamstatic.com/steam/apps/38700/header.jpg?t=1596256691,1524,83.8096,2024,1524,80,0.628109,2010-01-28,99.0,499.0,0,0,0,101,-1,0,-1,,1018.0,-1,-1,-1,499.0,16592,16758,Two Tribes,Two Tribes Publishing
341310,Greyfox RPG,greyfox_rpg,https://cdn.cloudflare.steamstatic.com/steam/apps/341310/header.jpg?t=1574484237,1495,70.4325,1697,1495,-1,0.386924,2015-02-23,77.0,299.0,0,0,0,2507,1745,0,13170,,946.0,-1,-1,12,299.0,12737,3581,Lesley Dodd,Senpai Studios
402560,Tabletopia,tabletopia,https://cdn.cloudflare.steamstatic.com/steam/apps/402560/header.jpg?t=1643183654,1458,36.5507,1458,135,-1,-1.0,2016-11-30,0.0,0.0,1,1,0,1177,-1,-1,4403,,3576.0,-1,-1,23,999.0,58164,58164,Tabletopia,Tabletopia
641960,BOXVR,boxvr,https://cdn.cloudflare.steamstatic.com/steam/apps/641960/header.jpg?t=1647099948,1433,75.7434,1545,1433,-1,0.499957,2019-05-21,2999.0,2999.0,0,0,0,572,4759,-1,2503,,16401.0,-1,17,48,1999.0,25158,25158,FitXR,FitXR
1454890,Titanfall­™,titanfall,https://cdn.cloudflare.steamstatic.com/steam/apps/1454890/header.jpg?t=1609387914,1384,48.2909,1757,1384,86,-1.0,2020-11-20,0.0,0.0,0,0,0,246,4994,0,7193,,8600.0,195,265,388,1999.0,16690,668,Respawn Entertainment,Electronic Arts
1238020,Mass Effect™ 3 N7 Digital Deluxe Edition (2012),mass_effect_3_n7_digital_deluxe_edition_2012,https://cdn.cloudflare.steamstatic.com/steam/apps/1238020/header.jpg?t=1614946110,1348,63.4493,1906,1348,89,0.555187,2020-06-11,2999.0,2999.0,0,0,0,659,9898,0,4510,,6109.0,95,230,361,2999.0,3487,668,BioWare,Electronic Arts
1238880,Battlefield™ Hardline,battlefield_hardline,https://cdn.cloudflare.steamstatic.com/steam/apps/1238880/header.jpg?t=1615894937,1130,52.5855,2137,1130,71,0.243425,2020-06-11,3999.0,3999.0,0,0,0,212,4571,0,7215,,7333.0,63,125,162,3999.0,3489,668,DICE,Electronic Arts
382890,FINAL FANTASY V (Old ver.),final_fantasy_v_old_ver,https://cdn.cloudflare.steamstatic.com/steam/apps/382890/header.jpg?t=1624993361,1116,73.7104,1275,1116,-1,0.477703,2015-09-24,1599.0,1599.0,0,0,0,671,11673,0,870,64.0,7624.0,98,117,134,1599.0,818,818,Square Enix,Square Enix
355150,gravilon,gravilon,https://cdn.cloudflare.steamstatic.com/steam/apps/355150/header.jpg?t=1511231788,1115,56.9773,1264,1115,-1,-1.0,2015-03-30,299.0,299.0,0,0,0,938,986,0,16826,,1385.0,-1,-1,-1,499.0,,,,
735280,EMERGENCY 20,emergency_20,https://cdn.cloudflare.steamstatic.com/steam/apps/735280/header.jpg?t=1646662507,1104,71.4774,1155,1104,-1,0.701587,2017-10-31,2999.0,2999.0,0,0,0,388,9617,0,1180,,18939.0,18,28,35,2999.0,11213,11213,Sixteen Tons Entertainment,Sixteen Tons Entertainment
295690,PARTICLE MACE,particle_mace,https://cdn.cloudflare.steamstatic.com/steam/apps/295690/header.jpg?t=1621349807,1086,82.4234,1366,1086,-1,0.626652,2015-01-22,499.0,499.0,0,0,0,541,2342,-1,-1,-1.0,1344.0,-1,-1,-1,499.0,5708,5709,Andy Wallace,Andy Makes
295950,新流星搜劍錄,,https://cdn.cloudflare.steamstatic.com/steam/apps/295950/header.jpg?t=1513842054,1062,61.3997,1101,1062,-1,0.0390156,2017-12-20,1999.0,1999.0,0,0,0,798,9912,0,14872,,25894.0,-1,-1,10,1999.0,5718,5718,Titans,Titans
285110,GearCity,gearcity,https://cdn.cloudflare.steamstatic.com/steam/apps/285110/header.jpg?t=1642172420,1018,74.9907,1104,1018,-1,0.756797,2022-01-14,1999.0,1999.0,0,0,0,277,7947,-1,3111,,18829.0,-1,24,41,1499.0,14805,14805,Visual Entertainment And Technologies,Visual Entertainment And Technologies
434420,The Chosen RPG,the_chosen_rpg,https://cdn.cloudflare.steamstatic.com/steam/apps/434420/header.jpg?t=1574484919,997,68.2971,1163,997,-1,0.366829,2016-02-04,103.0,199.0,0,0,0,647,4983,0,16128,,1810.0,15,30,66,199.0,4857,3581,Little Big Lee,Senpai Studios
351490,Intergalactic Bubbles,intergalactic_bubbles,https://cdn.cloudflare.steamstatic.com/steam/apps/351490/header.jpg?t=1510874050,989,75.3366,1158,989,-1,0.516858,2015-05-29,199.0,199.0,0,0,0,699,820,0,-1,,1665.0,-1,-1,-1,499.0,9063,9063,Hellscape Games,Hellscape Games
7800,Stubbs the Zombie in Rebel Without a Pulse,stubbs_the_zombie_in_rebel_without_a_pulse,https://cdn.cloudflare.steamstatic.com/steam/apps/7800/header.jpg?t=1623335888,902,71.0028,1393,902,72,0.693791,2021-03-16,1999.0,1999.0,0,0,0,396,287,0,3795,,4241.0,-1,-1,-1,1999.0,11071,11071,Aspyr,Aspyr
1157220,Nebuchadnezzar,nebuchadnezzar,https://cdn.cloudflare.steamstatic.com/steam/apps/1157220/header.jpg?t=1645110839,881,79.0543,999,881,73,0.816009,2021-02-17,1999.0,1999.0,0,0,0,908,17871,0,3190,,7659.0,148,213,285,1999.0,34770,34770,Nepos Games,Nepos Games
370510,Marble Mayhem: Fragile Ball,marble_mayhem_fragile_ball,https://cdn.cloudflare.steamstatic.com/steam/apps/370510/header.jpg?t=1574484516,860,63.8472,1047,860,-1,0.246895,2015-07-07,111.0,199.0,0,0,0,794,697,0,16528,,1394.0,-1,-1,-1,499.0,10303,3581,"Bimboosoft Co.,Ltd.",Senpai Studios
399790,Destiny Warriors RPG,destiny_warriors_rpg,https://cdn.cloudflare.steamstatic.com/steam/apps/399790/header.jpg?t=1574484115,852,47.3485,1018,852,-1,-1.0,2015-09-11,77.0,299.0,0,0,0,2693,1470,0,15749,,1351.0,28,42,64,299.0,9909,3581,ninjalex,Senpai Studios
265590,The Red Solstice,the_red_solstice,https://cdn.cloudflare.steamstatic.com/steam/apps/265590/header.jpg?t=1611045114,808,71.6691,2350,808,74,0.462507,2015-07-09,999.0,999.0,0,0,0,81972,-1,-1,8260,,264.0,39,63,85,2499.0,44692,13675,Ironward,Ironward
257690,J.U.L.I.A.: Among the Stars,julia_among_the_stars,https://cdn.cloudflare.steamstatic.com/steam/apps/257690/header.jpg?t=1578574260,765,80.2312,838,765,71,0.617808,2014-09-12,1999.0,1999.0,0,0,0,376,7615,0,-1,,12383.0,13,21,38,1999.0,13297,13297,CBE software,CBE software
482300,Investigator,investigator,https://cdn.cloudflare.steamstatic.com/steam/apps/482300/header_alt_assets_0.jpg?t=1646792389,761,67.2073,916,761,-1,0.366272,2016-06-01,499.0,499.0,0,0,0,135,-1,0,12110,,5027.0,-1,16,31,999.0,20960,20960,AdroVGames,AdroVGames
670160,D'LIRIUM,dlirium,https://cdn.cloudflare.steamstatic.com/steam/apps/670160/header.jpg?t=1642439855,740,88.8438,849,740,-1,0.741238,2017-08-25,499.0,499.0,0,0,0,77,2875,1,-1,,16562.0,-1,16,34,199.0,12079,12079,B52 Development Team,B52 Development Team
754500,Plutocracy,plutocracy,https://cdn.cloudflare.steamstatic.com/steam/apps/754500/header.jpg?t=1643723169,722,72.3307,781,722,-1,0.486496,2019-11-21,2499.0,2499.0,0,0,0,162,7576,1,5596,,25406.0,41,104,154,2499.0,39780,15448,Redwood,Redwood
764920,Fear the Night - 恐惧之夜,fear_the_night,https://cdn.cloudflare.steamstatic.com/steam/apps/764920/header.jpg?t=1572305082,713,55.9821,851,713,-1,-1.0,2019-07-17,1499.0,1499.0,0,0,0,828,8581,-1,6190,,20943.0,-1,12,22,1499.0,7536,7536,Snail Games USA,Snail Games USA
1375530,Exo One: Prologue,exo_one_prologue,https://cdn.cloudflare.steamstatic.com/steam/apps/1375530/header.jpg?t=1633515727,684,88.5959,684,-1,-1,0.744483,2020-08-21,0.0,0.0,1,0,0,75,1722,0,-1,,,-1,-1,-1,0.0,28232,"28232,30349",Exbleative,"Exbleative, Future Friends Games"
396160,Secret Of Magia,secret_of_magia,https://cdn.cloudflare.steamstatic.com/steam/apps/396160/header.jpg?t=1574484701,669,46.469,797,669,-1,-1.0,2015-08-21,77.0,299.0,0,0,0,2956,1492,0,15294,,1411.0,32,41,59,299.0,,3581,,Senpai Studios
263200,Signs of Life,signs_of_life,https://cdn.cloudflare.steamstatic.com/steam/apps/263200/header.jpg?t=1570081375,622,74.7677,746,622,-1,0.547713,2014-01-27,999.0,999.0,0,0,0,104,31941,1,11520,,11398.0,23,44,51,999.0,23467,23467,Sweet Dog Studios,Sweet Dog Studios
305940,Project AURA,project_aura,https://cdn.cloudflare.steamstatic.com/steam/apps/305940/header.jpg?t=1624717584,609,61.8625,658,609,-1,0.229523,2018-04-17,1499.0,1499.0,0,0,0,117,47135,-1,-1,-1.0,19590.0,27,34,48,1499.0,48615,48615,Nexcentric Games,Nexcentric Games
407230,Legend of Mysteria RPG,legend_of_mysteria_rpg,https://cdn.cloudflare.steamstatic.com/steam/apps/407230/header.jpg?t=1574484483,607,64.4345,712,607,-1,0.32076,2015-08-28,77.0,299.0,0,0,0,2417,1156,0,16162,,839.0,-1,-1,16,299.0,4033,3581,Labyrinthine,Senpai Studios
233370,The Raven - Legacy of a Master Thief,the_raven_legacy_of_a_master_thief,https://cdn.cloudflare.steamstatic.com/steam/apps/233370/header.jpg?t=1562058409,580,71.3201,778,580,74,0.492327,1970-01-01,0.0,0.0,0,0,1,295,2732,-2,15842,,6516.0,-1,-1,-1,2499.0,4558,3423,KING Art,THQ Nordic
349220,The Black Watchmen,the_black_watchmen,https://cdn.cloudflare.steamstatic.com/steam/apps/349220/header.jpg?t=1578595485,577,84.0586,695,577,-1,0.700863,2015-08-27,999.0,999.0,0,0,0,195,10931,-1,8128,,6679.0,11,20,32,3499.0,5459,4881,Alice & Smith,Alice & Smith
335820,Dream Of Mirror Online,dream_of_mirror_online,https://cdn.cloudflare.steamstatic.com/steam/apps/335820/header.jpg?t=1531941893,515,55.0189,515,3,-1,-1.0,2015-08-14,0.0,0.0,1,0,0,348,-1,0,-1,,2632.0,-1,-1,-1,0.0,15880,15881,SOFTSTAR,SubaGames
377140,Hide & Hold Out - H2o,hide_hold_out_h2o,https://cdn.cloudflare.steamstatic.com/steam/apps/377140/header.jpg?t=1523136015,487,51.6481,642,487,-1,-1.0,2016-04-09,1799.0,1799.0,0,0,0,536,19405,1,11389,,21301.0,58,113,152,1799.0,7153,7153,Red Abyss Software,Red Abyss Software
355760,Drizzlepath,drizzlepath,https://cdn.cloudflare.steamstatic.com/steam/apps/355760/header.jpg?t=1593397270,457,53.2238,554,457,-1,-1.0,2015-03-12,199.0,199.0,0,0,0,43,1373,0,13595,,8246.0,13,29,41,399.0,26300,26300,Tonguç Bodur,Tonguç Bodur
416080,The Odyssey: Winds of Athena,the_odyssey_winds_of_athena,https://cdn.cloudflare.steamstatic.com/steam/apps/416080/header.jpg?t=1574484228,443,59.9595,532,443,-1,0.272505,2015-11-06,114.0,499.0,0,0,0,628,803,0,-1,,1882.0,-1,-1,23,499.0,11195,3581,Liquid Dragon Studios,Senpai Studios
1046300,Pirates Outlaws,pirates_outlaws,https://cdn.cloudflare.steamstatic.com/steam/apps/1046300/header.jpg?t=1646118055,415,77.5378,478,415,79,0.694921,2020-04-13,1999.0,1999.0,0,0,0,249,4675,-1,6590,73.3333,22572.0,22,41,58,1999.0,1325,1325,Fabled Game,Fabled Game
351790,Invisible Apartment,invisible_apartment,https://cdn.cloudflare.steamstatic.com/steam/apps/351790/header.jpg?t=1506359783,407,66.5406,407,5,-1,0.53166,2015-03-02,0.0,0.0,0,0,0,37,2930,0,-1,,5341.0,-1,-1,-1,0.0,"3563,3564",3565,"Milan Kazarka, Jeroen van Oosten",Vysoko Anime Production
266230,Last Dream,last_dream,https://cdn.cloudflare.steamstatic.com/steam/apps/266230/header.jpg?t=1598216573,400,79.2397,488,400,-1,0.818609,2014-03-13,999.0,999.0,0,0,0,265,-1,0,-1,,5841.0,24,38,59,999.0,10497,10497,White Giant RPG Studios,White Giant RPG Studios
346830,FINAL FANTASY IV: THE AFTER YEARS,final_fantasy_iv_the_after_years,https://cdn.cloudflare.steamstatic.com/steam/apps/346830/header.jpg?t=1547739205,387,59.1565,438,387,-1,0.458094,2015-05-11,1599.0,1599.0,0,0,0,268,6756,-2,8135,,8309.0,13,26,37,1599.0,818,818,Square Enix,Square Enix
394540,Spaceport Hope,spaceport_hope,https://cdn.cloudflare.steamstatic.com/steam/apps/394540/header.jpg?t=1492978215,386,71.5972,459,386,-1,0.703539,2016-04-15,199.0,199.0,0,0,0,3000,1410,0,16774,,2174.0,-1,-1,-1,799.0,7519,17857,team BitClub,"team BitClub , Sunken Treasure Games"
279140,Making History: The Great War,making_history_the_great_war,https://cdn.cloudflare.steamstatic.com/steam/apps/279140/header.jpg?t=1607720650,371,71.4079,427,371,-1,0.70045,2015-01-29,2999.0,2999.0,0,0,0,109,14408,-1,10860,,11703.0,-1,12,25,1999.0,"6163,48251",6163,"Factus Games, Muzzy Lane Software",Factus Games
524110,Emergency 2017,emergency_2017,https://cdn.cloudflare.steamstatic.com/steam/apps/524110/header.jpg?t=1572882879,352,61.5398,384,352,-1,0.514268,2016-10-27,0.0,0.0,0,0,0,578,4366,0,-1,,19320.0,18,26,38,3999.0,11213,11213,Sixteen Tons Entertainment,Sixteen Tons Entertainment
265970,Worlds of Magic,worlds_of_magic,https://cdn.cloudflare.steamstatic.com/steam/apps/265970/header.jpg?t=1573154283,336,41.6358,494,336,52,-1.0,2015-03-19,2499.0,2499.0,0,0,0,202,6673,-1,10219,-1.0,9927.0,31,46,75,3999.0,5468,4462,Wastelands Interactive,Wastelands Interactive
363460,Spermination,spermination,https://cdn.cloudflare.steamstatic.com/steam/apps/363460/header.jpg?t=1451573651,323,80.5043,419,323,-1,0.836124,2015-04-29,299.0,299.0,0,0,0,30,1723,0,-1,,8784.0,29,39,67,299.0,14346,14346,Phr00t's Software,Phr00t's Software
