steam_appid,name,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,Free?,is_f2p,F2P?,Coming Soon?,coming_soon,peak_ccu,followers,early_access,Early Access?,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,sdk
604240,Shotgun Farmers,7994,80.0124,8582,7994,-1,0.829355,08/03/2019,999,999,0,No,0,No,No,0,450,16158,-1,Formerly Early Access,2178,,13920,15,30,44,999,15742,15742,Megastorm Games,Megastorm Games,Discord
1874170,Shredders,-1,-1,-1,-1,-1,-1,31/12/1970,2999,2999,0,No,0,No,Yes,1,-1,323,-2,Early Access History Unknown,-1,,33147,-1,-1,-1,,58231,58231,FoamPunch,FoamPunch,Azure Playfab
326160,Shroud of the Avatar: Forsaken Virtues,2834,54.4831,2834,960,58,0.320537,27/03/2018,0,0,1,Yes,1,Yes,No,0,603,17116,-1,Formerly Early Access,-1,,6583,25,40,68,0,27801,27801,Portalarium,Portalarium,Photon
962730,Skater XL - The Ultimate Skateboarding Game,15070,80.7713,16005,15070,56,0.839775,28/07/2020,3999,3999,0,No,0,No,No,0,5597,38551,-1,Formerly Early Access,619,,9118,914,1575,2310,1999,20696,20696,Easy Day Studios Pty Ltd,Easy Day Studios Pty Ltd,Photon
433340,Slime Rancher,74517,93.1967,84392,74517,81,0.737128,01/08/2017,1999,1999,0,No,0,No,No,0,7189,228173,-1,Formerly Early Access,284,75.4545,780,373,880,1515,1999,6049,6049,Monomi Park,Monomi Park,Discord
1096530,Solasta: Crown of the Magister,9118,76.9647,9938,9118,-1,0.786119,27/05/2021,3999,3999,0,No,0,No,No,0,8291,68535,-1,Formerly Early Access,284,,16226,590,1169,1644,3499,57386,2657,Tactical Adventures,Tactical Adventures,Photon
840390,Spacebase Startopia,268,59.7242,472,268,69,0.472082,26/03/2021,3999,3999,0,No,0,No,No,0,647,14450,0,Never Had Early Access,15400,,21279,96,124,137,4999,9003,2777,Realmforge Studios,Kalypso Media,Azure Playfab
1058830,Spin Rhythm XD,2066,75.7729,2237,2066,-1,0.76855,22/10/2019,1999,1999,0,No,0,No,No,0,309,6349,1,Early Access,3310,,15394,64,131,279,1999,1689,1689,Super Spin Digital,Super Spin Digital,Discord
577690,Spooky's Jump Scare Mansion: HD Renovation,1328,76.445,1426,1328,-1,0.778506,01/03/2017,999,999,0,No,0,No,No,0,173,4291,0,Never Had Early Access,2389,,16577,45,68,83,999,22341,1375,Albino Moose Games,Albino Moose Games,Discord
527100,Star Trek™: Bridge Crew,2034,65.3817,2729,2034,-1,0.593734,30/05/2017,2499,2499,0,No,0,No,No,0,846,31811,0,Never Had Early Access,1810,,4745,274,347,390,4999,3356,3356,Ubisoft,Ubisoft,Photon
