,steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher
48,1733860,Slime Factory,slime_factory,https://cdn.cloudflare.steamstatic.com/steam/apps/1733860/header.jpg?t=1648029748,-1,-1,7,5,-1,-1,2022-03-23,599,599,0,0,0,1,63,-1,14893,,,-1,-1,-1,699.0,50875,50875,Blue Stone,Blue Stone
49,1733950,Galaxy's Edge,galaxys_edge,https://cdn.cloudflare.steamstatic.com/steam/apps/1733950/header.jpg?t=1633604960,-1,-1,1,1,-1,-1,2021-10-07,99,99,0,0,0,1,11,-2,-1,,,-1,-1,-1,99.0,52537,52537,Orb Studio,Orb Studio
50,1734000,Necropolis Suite,necropolis_suite,https://cdn.cloudflare.steamstatic.com/steam/apps/1734000/header.jpg?t=1630942040,-1,-1,-1,-1,-1,-1,1970-01-01,0,0,0,0,1,-1,103,-2,-1,,,-1,-1,-1,,51581,51581,Freesphere,Freesphere
51,1734040,Touhou Silver Night Festival ~ Freedom Train,touhou_silver_night_festival_freedom_train,https://cdn.cloudflare.steamstatic.com/steam/apps/1734040/header.jpg?t=1636130554,-1,-1,-1,-1,-1,-1,2021-12-31,0,0,0,0,1,-1,95,-2,-1,,,-1,-1,-1,,46426,46426,STUDIO POCO,STUDIO POCO
52,1734130,Concerto on White,concerto_on_white,https://cdn.cloudflare.steamstatic.com/steam/apps/1734130/header.jpg?t=1641268852,-1,-1,-1,-1,-1,-1,2022-05-31,0,0,0,0,1,-1,48,1,-1,,,-1,-1,-1,,53223,53223,C11 Games,C11 Games
53,1734150,BorderCollie Game 2 - Bordercollie Blaster Demo,bordercollie_game_2_bordercollie_blaster_demo,https://cdn.cloudflare.steamstatic.com/steam/apps/1734150/header.jpg?t=1631735304,-1,-1,-1,-1,-1,-1,2021-10-07,0,0,0,0,1,-1,-1,-2,-1,,,-1,-1,-1,,5094,5094,Craven,Craven
54,1734230,WHATEVER,whatever,https://cdn.cloudflare.steamstatic.com/steam/apps/1734230/header.jpg?t=1630582561,-1,-1,-1,-1,-1,-1,1970-01-01,0,0,0,0,1,-1,239,-2,-1,,,-1,-1,-1,,48752,48752,Napas Torteeka,Napas Torteeka
55,1734250,Triple Take,triple_take,https://cdn.cloudflare.steamstatic.com/steam/apps/1734250/header.jpg?t=1645181806,-1,-1,-1,-1,-1,-1,1970-01-01,0,0,0,0,1,-1,18,-2,-1,,,-1,-1,-1,,50131,50131,FlyAway,FlyAway
56,1734270,Royal Frontier,royal_frontier,https://cdn.cloudflare.steamstatic.com/steam/apps/1734270/header.jpg?t=1647620549,-1,-1,11,7,-1,-1,2022-03-18,699,699,0,0,0,4,62,-2,13770,,,-1,-1,-1,,44368,1725,Woblyware,Ratalaika Games S.L.
57,1734330,POWERTRIP,powertrip,https://cdn.cloudflare.steamstatic.com/steam/apps/1734330/header.jpg?t=1631523940,-1,-1,2,2,-1,-1,2021-09-08,99,99,0,0,0,-1,7,-2,-1,,,-1,-1,-1,99.0,51855,2041,RoomsForRockets,RoomsForRockets
58,1734350,Chronomaster,chronomaster,https://cdn.cloudflare.steamstatic.com/steam/apps/1734350/header.jpg?t=1643902248,-1,-1,-1,-1,-1,-1,2022-02-03,699,699,0,0,0,1,25,-2,16224,,,-1,-1,-1,699.0,50347,40762,DreamForge Intertainment,MIRROR Soft
59,1734370,Timewreck Tales,timewreck_tales,https://cdn.cloudflare.steamstatic.com/steam/apps/1734370/header.jpg?t=1643911613,-1,-1,-1,-1,-1,-1,2022-12-31,0,0,0,0,1,-1,31,-2,-1,,,-1,-1,-1,,51854,51854,Second Pass Studios,Second Pass Studios
60,1734390,The Pioneers: surviving desolation,the_pioneers_surviving_desolation,https://cdn.cloudflare.steamstatic.com/steam/apps/1734390/header.jpg?t=1643561093,-1,-1,-1,-1,-1,-1,2021-12-31,0,0,0,0,1,-1,1556,-2,-1,,,-1,-1,-1,,51928,51928,Supercube,Supercube
61,1734470,ROUGH KUTS: The Thirsty Dead,rough_kuts_the_thirsty_dead,https://cdn.cloudflare.steamstatic.com/steam/apps/1734470/header.jpg?t=1641753755,-1,-1,9,9,-1,-1,2021-09-23,99,99,0,0,0,2,66,-2,-1,,,-1,-1,-1,99.0,53329,43127,ROUGH KUTS,ROUGH KUTS
62,1734520,Slave in Sex Slave,slave_in_sex_slave,https://cdn.cloudflare.steamstatic.com/steam/apps/1734520/header.jpg?t=1634382059,-1,-1,1,1,-1,-1,2021-10-16,899,899,0,0,0,3,100,-2,16191,,,-1,-1,-1,899.0,51808,4471,Yuki Mango,H-GAME
63,1734540,PUPPETEERS,puppeteers,https://cdn.cloudflare.steamstatic.com/steam/apps/1734540/header.jpg?t=1645273291,-1,-1,-1,-1,-1,-1,2022-12-31,0,0,0,0,1,-1,37,1,-1,,,-1,-1,-1,,54879,54879,Teardrop Games,Teardrop Games
64,1734550,Deus Ex Machina -Satan from Foreign World-,deus_ex_machina_satan_from_foreign_world,https://cdn.cloudflare.steamstatic.com/steam/apps/1734550/header.jpg?t=1633834511,-1,-1,4,3,-1,-1,2021-10-09,799,799,0,0,0,1,117,-2,-1,,,-1,-1,-1,799.0,51807,4471,Shimizuan,H-GAME
65,1734560,Kingdom of Heroes,kingdom_of_heroes,https://cdn.cloudflare.steamstatic.com/steam/apps/1734560/header.jpg?t=1632199073,-1,-1,1,1,-1,-1,2021-09-20,799,799,0,0,0,2,29,-2,-1,,,-1,-1,-1,799.0,1555,1555,MoonlightGames,MoonlightGames
66,1734600,One against the wind,one_against_the_wind,https://cdn.cloudflare.steamstatic.com/steam/apps/1734600/header.jpg?t=1644310311,-1,-1,-1,-1,-1,-1,2022-02-08,999,999,0,0,0,-1,11,-2,-1,,,-1,-1,-1,,57477,57477,Game bord,Game bord
67,1734610,Robosnow,robosnow,https://cdn.cloudflare.steamstatic.com/steam/apps/1734610/header.jpg?t=1631177332,-1,-1,3,1,-1,-1,2021-09-09,199,1999,0,0,0,1,5,-2,-1,,,-1,-1,-1,1899.0,32656,32656,Vitok,Vitok
